Nombre Departamento,Código Departamento,Programa,Estado de Postulación,Año,Hogares,Valor Asignado,Senso Hogares,Senso Viviendas,Deficit Hogares,Categoria Estado,Cobertura
HUILA,41,VIPA,Asignados,2018,97,2258952505.0,337764,318602,19162,Ejecutado,Departamental
HUILA,41,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2011,4,41680800.0,277418,260063,17355,No ejecutado,Departamental
HUILA,41,Bolsa Desplazados,Asignados,2009,314,4459782581.0,264388,247400,16988,Ejecutado,Nacional
HUILA,41,Bolsa Atentados terroristas,Asignados,2009,4,43341700.0,264388,247400,16988,Ejecutado,Departamental
HUILA,41,Bolsa Saludable,Renuncia con restitucion de subsidio,2010,2,7950164.0,270725,253558,17167,No ejecutado,Departamental
HUILA,41,Fenómeno de la Niña,Asignados,2013,161,3992152300.0,291804,274046,17758,Ejecutado,Departamental
HUILA,41,Bolsa Saludable,Asignados,2009,212,566145060.0,264388,247400,16988,Ejecutado,Departamental
HUILA,41,Programa Vivienda Gratuita Fase I,Asignados,2019,5,239651440.0,346048,326692,19356,Ejecutado,Departamental
HUILA,41,Programa Vivienda Gratuita Fase I,Renuncia en trámite sin restitución,2015,1,41238400.0,308019,289795,18224,No ejecutado,Departamental
HUILA,41,Bolsa Atentados terroristas,Asignados,2007,7,47500014.0,252608,235957,16651,Ejecutado,Departamental
HUILA,41,MI CASA YA,Renuncias al subsidio,2019,6,124217400.0,346048,326692,19356,No ejecutado,Departamental
HUILA,41,VIPA,Asignados,2015,351,6604587500.0,308019,289795,18224,Ejecutado,Departamental
HUILA,41,Bolsa Esfuerzo Territorial,Asignados,2008,87,657650691.0,258357,241539,16818,Ejecutado,Departamental
HUILA,41,Casa Digna Vida Digna,Renuncias al subsidio,2021,2,19874579.0,362828,343089,19739,No ejecutado,Departamental
HUILA,41,Bolsa Esfuerzo Territorial,Asignados,2010,160,1405191400.0,270725,253558,17167,Ejecutado,Departamental
HUILA,41,Bolsa Desplazados,Asignados,2005,170,1420554000.0,241609,225294,16315,Ejecutado,Nacional
HUILA,41,Bolsa Concejales,Apto con subsidio vencido,2011,3,34546200.0,277418,260063,17355,Pendiente,Departamental
HUILA,41,MI CASA YA,Renuncias al subsidio,2020,8,166782570.0,354477,334925,19552,No ejecutado,Departamental
HUILA,41,Bolsa Desastres Naturales,Renuncias al subsidio,2005,1,8011500.0,241609,225294,16315,No ejecutado,Departamental
HUILA,41,Bolsa Desastres Naturales,Subsidio Revocado,2005,3,24034500.0,241609,225294,16315,Pendiente,Departamental
HUILA,41,Bolsa Desplazados,Apto con subsidio vencido,2010,15,231750000.0,270725,253558,17167,Pendiente,Nacional
HUILA,41,Programa Vivienda Gratuita Fase I,Asignados,2021,1,41238400.0,362828,343089,19739,Ejecutado,Departamental
HUILA,41,Bolsa Desplazados,Renuncias al subsidio,2009,1,14907000.0,264388,247400,16988,No ejecutado,Nacional
HUILA,41,MI CASA YA,Asignados,2016,179,1982872580.0,317088,298590,18498,Ejecutado,Departamental
HUILA,41,Bolsa Desplazados,Asignados,2016,5,103418220.0,317088,298590,18498,Ejecutado,Nacional
HUILA,41,Semillero de Propietarios Ahorro,Asignados,2023,3,20880000.0,379803,359682,20121,Ejecutado,Departamental
HUILA,41,Macroproyecto,Asignados,2023,35,831163000.0,379803,359682,20121,Ejecutado,Departamental
HUILA,41,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2006,1,8011500.0,247022,230538,16484,No ejecutado,Departamental
HUILA,41,Macroproyecto,Asignados,2016,50,677290588.0,317088,298590,18498,Ejecutado,Departamental
HUILA,41,Bolsa Desplazados,Asignados,2011,331,5278450208.0,277418,260063,17355,Ejecutado,Nacional
HUILA,41,Bolsa Desplazados,Subsidio Revocado,2008,1,11537500.0,258357,241539,16818,Pendiente,Nacional
HUILA,41,Bolsa Desplazados,Renuncia con restitucion de subsidio,2011,1,9373000.0,277418,260063,17355,No ejecutado,Nacional
HUILA,41,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2005,2,12743000.0,241609,225294,16315,Pendiente,Departamental
HUILA,41,Bolsa Desastres Naturales,Renuncias al subsidio,2011,1,11730500.0,277418,260063,17355,No ejecutado,Departamental
HUILA,41,Bolsa Esfuerzo Territorial,Asignados,2011,89,1032788400.0,277418,260063,17355,Ejecutado,Departamental
HUILA,41,VIPA,Perdida de ejecutoriedad de asignación de SFV,2016,4,82734600.0,317088,298590,18498,Pendiente,Departamental
HUILA,41,Macroproyecto,Asignados,2010,344,3342018087.0,270725,253558,17167,Ejecutado,Departamental
HUILA,41,Bolsa Desastres Naturales,Asignados,2019,56,2692302190.0,346048,326692,19356,Ejecutado,Departamental
HUILA,41,Programa Vivienda Gratuita Fase I,Apto con subsidio vencido,2012,4,49869600.0,284434,266883,17551,Pendiente,Departamental
HUILA,41,MI CASA YA,Renuncias al subsidio,2023,10,290000000.0,379803,359682,20121,No ejecutado,Departamental
